Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Post_Init_Duration,DIR,Vslack_pu,Commands>,Table_Data,Grid_MVA_v,Grid_X2R_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s
,,s5251_FlatRun_022,FlatRun,Droop,,2500.0,5.0,1.0368414605789944,1.04125,-0.3,0.0,-350.0,10,CSR_S5251,1.1233673936338733,,"[[""Filename/Int. Ref."",""s5251_FlatRun_022""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0413""],[""Qpoc [.pu]"",""-0.3""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.0368414605789944,1.1233673936338733,0.0,-350.0,0,10
,,s5251_FlatRun_023,FlatRun,Droop,,2500.0,5.0,1.0375,1.0375,0.0,1100.0,0.0,10,CSR_S5251,1.0410003819924034,,"[[""Filename/Int. Ref."",""s5251_FlatRun_023""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.0375,1.0410003819924034,1100.0,0.0,0,10
,,s5251_FlatRun_024,FlatRun,Droop,,2500.0,5.0,1.0375,1.0375,0.0,750.0,350.0,10,CSR_S5251,1.0410003819924034,,"[[""Filename/Int. Ref."",""s5251_FlatRun_024""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.0375,1.0410003819924034,750.0,350.0,0,10
,,s5251_FlatRun_025,FlatRun,Droop,,2500.0,5.0,1.0375,1.0375,0.0,0.0,-350.0,10,CSR_S5251,1.072160205569776,,"[[""Filename/Int. Ref."",""s5251_FlatRun_025""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.0375,1.072160205569776,0.0,-350.0,0,10
,,s5251_FlatRun_026,FlatRun,Droop,,2500.0,5.0,1.0381585394210056,1.03375,0.3,1100.0,0.0,10,CSR_S5251,0.988691498377554,,"[[""Filename/Int. Ref."",""s5251_FlatRun_026""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0337""],[""Qpoc [.pu]"",""0.3""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.0381585394210056,0.988691498377554,1100.0,0.0,0,10
,,s5251_FlatRun_027,FlatRun,Droop,,2500.0,5.0,1.0381585394210056,1.03375,0.3,750.0,350.0,10,CSR_S5251,0.988691498377554,,"[[""Filename/Int. Ref."",""s5251_FlatRun_027""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0337""],[""Qpoc [.pu]"",""0.3""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.0381585394210056,0.988691498377554,750.0,350.0,0,10
,,s5251_FlatRun_028,FlatRun,Droop,,2500.0,5.0,1.0381585394210056,1.03375,0.3,0.0,-350.0,10,CSR_S5251,1.0208729974229274,,"[[""Filename/Int. Ref."",""s5251_FlatRun_028""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0337""],[""Qpoc [.pu]"",""0.3""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.0381585394210056,1.0208729974229274,0.0,-350.0,0,10
,,s5251_FlatRun_029,FlatRun,Droop,,2500.0,5.0,1.039695131403352,1.025,1.0,1100.0,0.0,10,CSR_S5251,0.8661496116496742,,"[[""Filename/Int. Ref."",""s5251_FlatRun_029""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.039695131403352,0.8661496116496742,1100.0,0.0,0,10
,,s5251_FlatRun_030,FlatRun,Droop,,2500.0,5.0,1.039695131403352,1.025,1.0,750.0,350.0,10,CSR_S5251,0.8661496116496742,,"[[""Filename/Int. Ref."",""s5251_FlatRun_030""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.039695131403352,0.8661496116496742,750.0,350.0,0,10
,,s5251_FlatRun_031,FlatRun,Droop,,2500.0,5.0,1.039695131403352,1.025,1.0,0.0,-350.0,10,CSR_S5251,0.9011626720984607,,"[[""Filename/Int. Ref."",""s5251_FlatRun_031""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.039695131403352,0.9011626720984607,0.0,-350.0,0,10
