Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Time_Steps,Vref_Deltas,DIR,Vslack_pu,Commands>,Table_Data,Grid_MVA_v,Grid_X2R_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Vref_pu_t,Vref_pu_v
,,s52513_VrefSteps_022,d1%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.039695131403352,1.025,1.0,0.0,-350.0,"[0.5, 10.5]","[-0.01, 0]",CSR_S52513,0.9011626720984607,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_022""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""d1%""]]",2500.0,5.0,0.9011626720984607,0.0,-350.0,0,10.5,"[0, 0.5, 10.5]","[1.039695131403352, 1.029695131403352, 1.029695131403352]"
,,s52513_VrefSteps_023,d1%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.0375,1.0375,0.0,1100.0,0.0,"[0.5, 10.5]","[-0.01, 0]",CSR_S52513,1.0410003819924034,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_023""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""d1%""]]",2500.0,5.0,1.0410003819924034,1100.0,0.0,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0275, 1.0275]"
,,s52513_VrefSteps_024,d1%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.0375,1.0375,0.0,750.0,350.0,"[0.5, 10.5]","[-0.01, 0]",CSR_S52513,1.0410003819924034,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_024""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""d1%""]]",2500.0,5.0,1.0410003819924034,750.0,350.0,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0275, 1.0275]"
,,s52513_VrefSteps_025,d1%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.0375,1.0375,0.0,0.0,-350.0,"[0.5, 10.5]","[-0.01, 0]",CSR_S52513,1.072160205569776,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_025""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""d1%""]]",2500.0,5.0,1.072160205569776,0.0,-350.0,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0275, 1.0275]"
,,s52513_VrefSteps_026,u1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.035304868596648,1.05,-1.0,1100.0,0.0,"[0.5, 10.5]","[0.01, 0]",CSR_S52513,1.1763054837802749,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_026""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""u1%""]]",3000.0,5.0,1.1763054837802749,1100.0,0.0,0,10.5,"[0, 0.5, 10.5]","[1.035304868596648, 1.045304868596648, 1.045304868596648]"
,,s52513_VrefSteps_027,u1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.035304868596648,1.05,-1.0,750.0,350.0,"[0.5, 10.5]","[0.01, 0]",CSR_S52513,1.1763054837802749,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_027""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""u1%""]]",3000.0,5.0,1.1763054837802749,750.0,350.0,0,10.5,"[0, 0.5, 10.5]","[1.035304868596648, 1.045304868596648, 1.045304868596648]"
,,s52513_VrefSteps_028,u1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.035304868596648,1.05,-1.0,0.0,-350.0,"[0.5, 10.5]","[0.01, 0]",CSR_S52513,1.2098240064122732,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_028""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""u1%""]]",3000.0,5.0,1.2098240064122732,0.0,-350.0,0,10.5,"[0, 0.5, 10.5]","[1.035304868596648, 1.045304868596648, 1.045304868596648]"
,,s52513_VrefSteps_029,u1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0375,1.0375,0.0,1100.0,0.0,"[0.5, 10.5]","[0.01, 0]",CSR_S52513,1.0283428232692884,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_029""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""u1%""]]",3000.0,5.0,1.0283428232692884,1100.0,0.0,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0475, 1.0475]"
,,s52513_VrefSteps_030,u1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0375,1.0375,0.0,750.0,350.0,"[0.5, 10.5]","[0.01, 0]",CSR_S52513,1.0283428232692884,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_030""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""u1%""]]",3000.0,5.0,1.0283428232692884,750.0,350.0,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0475, 1.0475]"
,,s52513_VrefSteps_031,u1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0375,1.0375,0.0,0.0,-350.0,"[0.5, 10.5]","[0.01, 0]",CSR_S52513,1.0652753817073033,,"[[""Filename/Int. Ref."",""s52513_VrefSteps_031""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""u1%""]]",3000.0,5.0,1.0652753817073033,0.0,-350.0,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0475, 1.0475]"
