Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Time_Steps,Delta_Vpoc,DIR,Vslack_pu,Commands>,Table_Data,Grid_MVA_v,Grid_X2R_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Vpoc_disturbance_pu_t,Vpoc_disturbance_pu_v,Vpoc_disturbance_pu_r
,,s52513_VgridSteps_022,u1%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.039695131403352,1.025,0.9999999999999952,0.0,-350.0,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,0.9011626720984607,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_022""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""0.9999999999999952""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""u1%""]]",2500.0,5.0,1.039695131403352,0.9011626720984607,0.0,-350.0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009756097560975611, 0.009756097560975611]","[false, false, false]"
,,s52513_VgridSteps_023,u1%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.0375,1.0375,0.0,1100.0,0.0,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,1.0410003819924034,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_023""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""u1%""]]",2500.0,5.0,1.0375,1.0410003819924034,1100.0,0.0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009638554216867469, 0.009638554216867469]","[false, false, false]"
,,s52513_VgridSteps_024,u1%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.0375,1.0375,0.0,750.0,350.0,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,1.0410003819924034,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_024""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""u1%""]]",2500.0,5.0,1.0375,1.0410003819924034,750.0,350.0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009638554216867469, 0.009638554216867469]","[false, false, false]"
,,s52513_VgridSteps_025,u1%,Droop,PPOC_VPOC_VREF,2500.0,5.0,1.0375,1.0375,0.0,0.0,-350.0,"[0, 0.5, 10.5]","[0, 0.01, 0]",CSR_S52513,1.072160205569776,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_025""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""u1%""]]",2500.0,5.0,1.0375,1.072160205569776,0.0,-350.0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.009638554216867469, 0.009638554216867469]","[false, false, false]"
,,s52513_VgridSteps_026,d1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.035304868596648,1.05,-0.9999999999999952,1100.0,0.0,"[0, 0.5, 10.5]","[0, -0.01, 0]",CSR_S52513,1.1763054837802749,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_026""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-0.9999999999999952""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""d1%""]]",3000.0,5.0,1.035304868596648,1.1763054837802749,1100.0,0.0,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.009523809523809523, -0.009523809523809523]","[false, false, false]"
,,s52513_VgridSteps_027,d1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.035304868596648,1.05,-0.9999999999999952,750.0,350.0,"[0, 0.5, 10.5]","[0, -0.01, 0]",CSR_S52513,1.1763054837802749,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_027""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-0.9999999999999952""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""d1%""]]",3000.0,5.0,1.035304868596648,1.1763054837802749,750.0,350.0,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.009523809523809523, -0.009523809523809523]","[false, false, false]"
,,s52513_VgridSteps_028,d1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.035304868596648,1.05,-0.9999999999999952,0.0,-350.0,"[0, 0.5, 10.5]","[0, -0.01, 0]",CSR_S52513,1.2098240064122732,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_028""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-0.9999999999999952""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""d1%""]]",3000.0,5.0,1.035304868596648,1.2098240064122732,0.0,-350.0,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.009523809523809523, -0.009523809523809523]","[false, false, false]"
,,s52513_VgridSteps_029,d1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0375,1.0375,0.0,1100.0,0.0,"[0, 0.5, 10.5]","[0, -0.01, 0]",CSR_S52513,1.0283428232692884,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_029""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""d1%""]]",3000.0,5.0,1.0375,1.0283428232692884,1100.0,0.0,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.009638554216867469, -0.009638554216867469]","[false, false, false]"
,,s52513_VgridSteps_030,d1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0375,1.0375,0.0,750.0,350.0,"[0, 0.5, 10.5]","[0, -0.01, 0]",CSR_S52513,1.0283428232692884,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_030""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""d1%""]]",3000.0,5.0,1.0375,1.0283428232692884,750.0,350.0,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.009638554216867469, -0.009638554216867469]","[false, false, false]"
,,s52513_VgridSteps_031,d1%,Droop,PPOC_VPOC_VREF,3000.0,5.0,1.0375,1.0375,0.0,0.0,-350.0,"[0, 0.5, 10.5]","[0, -0.01, 0]",CSR_S52513,1.0652753817073033,,"[[""Filename/Int. Ref."",""s52513_VgridSteps_031""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""d1%""]]",3000.0,5.0,1.0375,1.0652753817073033,0.0,-350.0,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.009638554216867469, -0.009638554216867469]","[false, false, false]"
