Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Time_Steps,Delta_Vpoc,DIR,Vslack_pu,Commands>,Grid_MVA_v,Grid_X2R_v,Init_Vpoc_pu_v,Init_Qpoc_pu_v,En_SMIB_init_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Vpoc_disturbance_pu_t,Vpoc_disturbance_pu_v,Vpoc_disturbance_pu_r
,,s52513_VgridSteps_042,Sat(u5%),Droop,PPOC_VPOC_VREF,2528,10,1.0353,1.043915219,-0.5862634884663023,0,-350,"[0, 0.5, 10.5]","[0, 0.05, 0]",CSR_S52513,1.1674240479444074,,2528,10,1.043915219,-0.5862634884663023,1,1.0353,1.1674240479444074,0,-350,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.047896609887435694, 0.047896609887435694]","[false, false, false]"
,,s52513_VgridSteps_043,Sat(u5%),Droop,PPOC_VPOC_VREF,1500,10,1.0353,1.049492667,-0.9658074235908043,1226,0,"[0, 0.5, 10.5]","[0, 0.05, 0]",CSR_S52513,1.4936269831386504,,1500,10,1.049492667,-0.9658074235908043,1,1.0353,1.4936269831386504,1226,0,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.047642067040759996, 0.047642067040759996]","[false, false, false]"
,,s52513_VgridSteps_044,Sat(u5%),Droop,PPOC_VPOC_VREF,1500,10,1.0353,1.049492667,-0.9658074235908043,876,350,"[0, 0.5, 10.5]","[0, 0.05, 0]",CSR_S52513,1.4936269831386504,,1500,10,1.049492667,-0.9658074235908043,1,1.0353,1.4936269831386504,876,350,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.047642067040759996, 0.047642067040759996]","[false, false, false]"
,,s52513_VgridSteps_045,Sat(u5%),Droop,PPOC_VPOC_VREF,1500,10,1.0353,1.04897465,-0.9305564968871529,0,-350,"[0, 0.5, 10.5]","[0, 0.05, 0]",CSR_S52513,1.3617551421738785,,1500,10,1.04897465,-0.9305564968871529,1,1.0353,1.3617551421738785,0,-350,0,10.5,"[0, 0.5, 10.5]","[0.0, 0.047665594206685556, 0.047665594206685556]","[false, false, false]"
,,s52513_VgridSteps_046,Sat(d5%),Droop,PPOC_VPOC_VREF,2528,10,1.0397,1.030972374,0.5939127565752214,1226,0,"[0, 0.5, 10.5]","[0, -0.05, 0]",CSR_S52513,0.9895362847845212,,2528,10,1.030972374,0.5939127565752214,1,1.0397,0.9895362847845212,1226,0,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.04849790475569038, -0.04849790475569038]","[false, false, false]"
,,s52513_VgridSteps_047,Sat(d5%),Droop,PPOC_VPOC_VREF,2528,10,1.0397,1.030972374,0.5939127565752214,876,350,"[0, 0.5, 10.5]","[0, -0.05, 0]",CSR_S52513,0.9895362847845212,,2528,10,1.030972374,0.5939127565752214,1,1.0397,0.9895362847845212,876,350,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.04849790475569038, -0.04849790475569038]","[false, false, false]"
,,s52513_VgridSteps_048,Sat(d5%),Droop,PPOC_VPOC_VREF,2528,10,1.0397,1.030991181,0.5926329449502827,0,-350,"[0, 0.5, 10.5]","[0, -0.05, 0]",CSR_S52513,0.9489366942215851,,2528,10,1.030991181,0.5926329449502827,1,1.0397,0.9489366942215851,0,-350,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.048497020072958315, -0.048497020072958315]","[false, false, false]"
,,s52513_VgridSteps_049,Sat(d5%),Droop,PPOC_VPOC_VREF,1500,10,1.0397,1.025715397,0.9516487206647272,1226,0,"[0, 0.5, 10.5]","[0, -0.05, 0]",CSR_S52513,1.0076275036803015,,1500,10,1.025715397,0.9516487206647272,1,1.0397,1.0076275036803015,1226,0,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.048746465292652724, -0.048746465292652724]","[false, false, false]"
,,s52513_VgridSteps_050,Sat(d5%),Droop,PPOC_VPOC_VREF,1500,10,1.0397,1.025715397,0.9516487206647272,876,350,"[0, 0.5, 10.5]","[0, -0.05, 0]",CSR_S52513,1.0076275036803015,,1500,10,1.025715397,0.9516487206647272,1,1.0397,1.0076275036803015,876,350,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.048746465292652724, -0.048746465292652724]","[false, false, false]"
,,s52513_VgridSteps_051,Sat(d5%),Droop,PPOC_VPOC_VREF,1500,10,1.0397,1.026452826,0.9014668624860409,0,-350,"[0, 0.5, 10.5]","[0, -0.05, 0]",CSR_S52513,0.8155301210476558,,1500,10,1.026452826,0.9014668624860409,1,1.0397,0.8155301210476558,0,-350,0,10.5,"[0, 0.5, 10.5]","[0.0, -0.04871144463096836, -0.04871144463096836]","[false, false, false]"
