Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Post_Init_Duration,DIR,Vslack_pu,Commands>,Grid_MVA_v,Grid_X2R_v,Init_Vpoc_pu_v,Init_Qpoc_pu_v,En_SMIB_init_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s
,,s5251_FlatRun_034,Flatrun,Droop,,-1,-1,1.035304868596648,1.05,-1.0,0,-350,10,CSR_S5251,1.05,,-1,-1,1.05,-1.0,1,1.035304868596648,1.05,0,-350,1,10
,,s5251_FlatRun_035,Flatrun,Droop,,-1,-1,1.0368414605789944,1.04125,-0.3,1226,0,10,CSR_S5251,1.04125,,-1,-1,1.04125,-0.3,1,1.0368414605789944,1.04125,1226,0,1,10
,,s5251_FlatRun_036,Flatrun,Droop,,-1,-1,1.0368414605789944,1.04125,-0.3,876,350,10,CSR_S5251,1.04125,,-1,-1,1.04125,-0.3,1,1.0368414605789944,1.04125,876,350,1,10
,,s5251_FlatRun_037,Flatrun,Droop,,-1,-1,1.0368414605789944,1.04125,-0.3,0,-350,10,CSR_S5251,1.04125,,-1,-1,1.04125,-0.3,1,1.0368414605789944,1.04125,0,-350,1,10
,,s5251_FlatRun_038,Flatrun,Droop,,-1,-1,1.0375,1.0375,0.0,1226,0,10,CSR_S5251,1.0375,,-1,-1,1.0375,0.0,1,1.0375,1.0375,1226,0,1,10
,,s5251_FlatRun_039,Flatrun,Droop,,-1,-1,1.0375,1.0375,0.0,876,350,10,CSR_S5251,1.0375,,-1,-1,1.0375,0.0,1,1.0375,1.0375,876,350,1,10
,,s5251_FlatRun_040,Flatrun,Droop,,-1,-1,1.0375,1.0375,0.0,0,-350,10,CSR_S5251,1.0375,,-1,-1,1.0375,0.0,1,1.0375,1.0375,0,-350,1,10
,,s5251_FlatRun_041,Flatrun,Droop,,-1,-1,1.0381585394210056,1.03375,0.3,1226,0,10,CSR_S5251,1.03375,,-1,-1,1.03375,0.3,1,1.0381585394210056,1.03375,1226,0,1,10
,,s5251_FlatRun_042,Flatrun,Droop,,-1,-1,1.0381585394210056,1.03375,0.3,876,350,10,CSR_S5251,1.03375,,-1,-1,1.03375,0.3,1,1.0381585394210056,1.03375,876,350,1,10
,,s5251_FlatRun_043,Flatrun,Droop,,-1,-1,1.0381585394210056,1.03375,0.3,0,-350,10,CSR_S5251,1.03375,,-1,-1,1.03375,0.3,1,1.0381585394210056,1.03375,0,-350,1,10
,,s5251_FlatRun_044,Flatrun,Droop,,-1,-1,1.039695131403352,1.025,1.0,1226,0,10,CSR_S5251,1.025,,-1,-1,1.025,1.0,1,1.039695131403352,1.025,1226,0,1,10
,,s5251_FlatRun_045,Flatrun,Droop,,-1,-1,1.039695131403352,1.025,1.0,876,350,10,CSR_S5251,1.025,,-1,-1,1.025,1.0,1,1.039695131403352,1.025,876,350,1,10
,,s5251_FlatRun_046,Flatrun,Droop,,-1,-1,1.039695131403352,1.025,1.0,0,-350,10,CSR_S5251,1.025,,-1,-1,1.025,1.0,1,1.039695131403352,1.025,0,-350,1,10
