Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Time_Steps,Vref_Deltas,DIR,Vslack_pu,Commands>,Grid_MVA_v,Grid_X2R_v,Init_Vpoc_pu_v,Init_Qpoc_pu_v,En_SMIB_init_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Vref_pu_t,Vref_pu_v
,,s52513_VrefSteps_037,u1%,Droop,PPOC_VPOC_VREF,1500,10,1.0375,1.0375,0.0,0,-350,"[0.5, 10.5]","[0.01, 0]",CSR_S52513,1.0832456546112046,,1500,10,1.0375,0.0,1,1.0832456546112046,0,-350,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0475, 1.0475]"
,,s52513_VrefSteps_038,No-Windup[D.wc],Droop,PPOC_VPOC_VREF,2528,10,1.035304868596648,1.05,-1.0,1226,0,"[0.5, 5.5, 10.5]","[-0.05, 0.1, 0]",CSR_S52513,1.273050583566357,,2528,10,1.05,-1.0,1,1.273050583566357,1226,0,0,10.5,"[0, 0.5, 5.5, 10.5]","[1.035304868596648, 0.9853048685966479, 1.085304868596648, 1.085304868596648]"
,,s52513_VrefSteps_039,No-Windup[U.wc],Droop,PPOC_VPOC_VREF,2528,10,1.039695131403352,1.025,1.0,1226,0,"[0.5, 5.5, 10.5]","[0.05, -0.1, 0]",CSR_S52513,0.9169971458773769,,2528,10,1.025,1.0,1,0.9169971458773769,1226,0,0,10.5,"[0, 0.5, 5.5, 10.5]","[1.039695131403352, 1.089695131403352, 0.989695131403352, 0.989695131403352]"
,,s52513_VrefSteps_040,Cont.Ctrl,Droop,PPOC_VPOC_VREF,2528,10,1.0375,1.0375,0.0,1226,0,"[0.5, 10.5]","[0.05, 0]",CSR_S52513,1.0947116114018198,,2528,10,1.0375,0.0,1,1.0947116114018198,1226,0,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0875000000000001, 1.0875000000000001]"
,,s52513_VrefSteps_041,Cont.Ctrl,Droop,PPOC_VPOC_VREF,2528,10,1.0375,1.0375,0.0,1226,0,"[0.5, 10.5]","[-0.05, 0]",CSR_S52513,1.0947116114018198,,2528,10,1.0375,0.0,1,1.0947116114018198,1226,0,0,10.5,"[0, 0.5, 10.5]","[1.0375, 0.9875, 0.9875]"
,,s52513_VrefSteps_042,Cont.Ctrl,Droop,PPOC_VPOC_VREF,2528,10,1.0375,1.0375,0.0,876,350,"[0.5, 10.5]","[0.05, 0]",CSR_S52513,1.0947116114018198,,2528,10,1.0375,0.0,1,1.0947116114018198,876,350,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0875000000000001, 1.0875000000000001]"
,,s52513_VrefSteps_043,Cont.Ctrl,Droop,PPOC_VPOC_VREF,2528,10,1.0375,1.0375,0.0,876,350,"[0.5, 10.5]","[-0.05, 0]",CSR_S52513,1.0947116114018198,,2528,10,1.0375,0.0,1,1.0947116114018198,876,350,0,10.5,"[0, 0.5, 10.5]","[1.0375, 0.9875, 0.9875]"
,,s52513_VrefSteps_044,Cont.Ctrl,Droop,PPOC_VPOC_VREF,2528,10,1.0375,1.0375,0.0,0,-350,"[0.5, 10.5]","[0.05, 0]",CSR_S52513,1.0591347025123146,,2528,10,1.0375,0.0,1,1.0591347025123146,0,-350,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0875000000000001, 1.0875000000000001]"
,,s52513_VrefSteps_045,Cont.Ctrl,Droop,PPOC_VPOC_VREF,2528,10,1.0375,1.0375,0.0,0,-350,"[0.5, 10.5]","[-0.05, 0]",CSR_S52513,1.0591347025123146,,2528,10,1.0375,0.0,1,1.0591347025123146,0,-350,0,10.5,"[0, 0.5, 10.5]","[1.0375, 0.9875, 0.9875]"
,,s52513_VrefSteps_046,Cont.Ctrl,Droop,PPOC_VPOC_VREF,1500,10,1.0375,1.0375,0.0,1226,0,"[0.5, 10.5]","[0.05, 0]",CSR_S52513,1.2386951830136483,,1500,10,1.0375,0.0,1,1.2386951830136483,1226,0,0,10.5,"[0, 0.5, 10.5]","[1.0375, 1.0875000000000001, 1.0875000000000001]"
